Phase,Film,Year_Release,U.S. release date,Box office gross U.S. and Canada,Box office gross Other territories,Box office gross Worldwide,All-time ranking U.S. and Canada,All-time ranking Worldwide,Rotten Tomatoes Rating,CinemaScore,Budget,Director,Producer,movie_image
Phase Three,Spider-Man: Homecoming,2017,7-Jul-17,334201140,545965784,880166924,66,69,92,A,175000000,Jon Watts,Kevin Feige and Amy Pascal,https://upload.wikimedia.org/wikipedia/en/f/f9/Spider-Man_Homecoming_poster.jpg
Phase Three,Thor: Ragnarok,2017,3-Nov-17,315058289,538918837,853977126,81,80,93,A,180000000,Taika Waititi,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/7/7d/Thor_Ragnarok_poster.jpg
Phase Three,Black Panther,2018,16-Feb-18,700426566,646853595,1347280161,5,13,96,A+,200000000,Ryan Coogler,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/d/d6/Black_Panther_%28film%29_poster.jpg
Phase Three,Avengers: Infinity War,2018,27-Apr-18,678815482,1369544272,2048359754,6,5,85,A,400000000,Anthony and Joe Russo,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/4/4d/Avengers_Infinity_War_poster.jpg
Phase Three,Ant-Man and the Wasp,2018,6-Jul-18,216648740,406025399,622674139,185,160,87,A−,162000000,Peyton Reed,Kevin Feige and Stephen Broussard,https://upload.wikimedia.org/wikipedia/en/2/2c/Ant-Man_and_the_Wasp_poster.jpg
Phase Three,Captain Marvel,2019,8-Mar-19,426829839,701445424,1128275263,26,27,79,A,175000000,Anna Boden & Ryan Fleck,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/4/4e/Captain_Marvel_%28film%29_poster.jpg
Phase Three,Avengers: Endgame,2019,26-Apr-19,858373000,1939427564,2797800564,2,2,94,A+,400000000,Anthony and Joe Russo,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg
Phase Three,Spider-Man: Far From Home,2019,2-Jul-19,390532085,741395911,1131927996,41,26,90,A,160000000,Jon Watts,Kevin Feige and Amy Pascal,https://upload.wikimedia.org/wikipedia/en/b/bd/Spider-Man_Far_From_Home_poster.jpg
Phase Four,Black Widow,2021,9-Jul-21,183651655,196100000,379751655,261,361,79,A−,200000000,Cate Shortland,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/e/e9/Black_Widow_%282021_film%29_poster.jpg
Phase Four,Shang-Chi and the Legend of the Ten Rings,2021,3-Sep-21,224543292,207700000,432243292,174,293,91,A,200000000,Destin Daniel Cretton,Kevin Feige and Jonathan Schwartz,https://upload.wikimedia.org/wikipedia/en/7/74/Shang-Chi_and_the_Legend_of_the_Ten_Rings_poster.jpeg
Phase Four,Eternals,2021,5-Nov-21,164870234,237194665,402064899,334,334,47,B,200000000,Chloe Zhao,Kevin Feige and Nate Moore,https://upload.wikimedia.org/wikipedia/en/9/9b/Eternals_%28film%29_poster.jpeg
Phase Four,Spider-Man: No Way Home,2021,17-Dec-21,814115070,1102191925,1916306995,3,6,93,A+,200000000,Jon Watts,Kevin Feige and Amy Pascal,https://upload.wikimedia.org/wikipedia/en/0/00/Spider-Man_No_Way_Home_poster.jpg
Phase Four,Doctor Strange in the Multiverse of Madness,2022,6-May-22,411331607,544444197,955775804,36,60,74,B+,200000000,Sam Raimi,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/1/17/Doctor_Strange_in_the_Multiverse_of_Madness_poster.jpg
Phase Four,Thor: Love and Thunder,2022,8-Jul-22,343256830,417671251,760928081,65,113,64,B+,250000000,Taika Waititi,Kevin Feige and Brad Winderbaum,https://upload.wikimedia.org/wikipedia/en/8/88/Thor_Love_and_Thunder_poster.jpeg
Phase Four,Black Panther: Wakanda Forever,2022,11-Nov-22,453786760,404737869,858524629,24,84,84,A,250000000,Ryan Coogler,Kevin Feige and Nate Moore,https://upload.wikimedia.org/wikipedia/en/3/3b/Black_Panther_Wakanda_Forever_poster.jpg
Phase Five,Ant-Man and the Wasp: Quantumania,2023,17-Feb-23,214469569,261566271,476035840,200,253,47,B,200000000,Peyton Reed,Kevin Feige and Stephen Broussard,https://upload.wikimedia.org/wikipedia/en/3/30/Ant-Man_and_the_Wasp_Quantumania_poster.jpg
Phase Five,Guardians of the Galaxy Vol. 3,2023,5-May-23,304775817,418721132,723496949,119,150,82,A,250000000,James Gunn,Kevin Feige,https://upload.wikimedia.org/wikipedia/en/7/74/Guardians_of_the_Galaxy_Vol._3_poster.jpg
